,car,horsepower,acceleration,mpg,weight
11,peugeot 504,88,21.9,19.0,3270
46,volkswagen rabbit custom diesel,48,21.5,43.1,1985
38,ford mustang ii 2+2,89,15.8,25.5,2755
181,mercury lynx l,70,17.3,36.0,2125
196,vw pickup,52,24.6,44.0,2130
88,ford ltd landau,129,13.4,17.6,3725
32,chevrolet monte carlo landau,170,11.4,15.5,4165
3,pontiac ventura sj,110,16.2,18.5,3645
134,vokswagen rabbit,62,15.3,29.8,1845
86,dodge aspen 6,110,16.6,20.6,3360
141,buick skylark,84,16.4,26.6,2635
6,datsun b-210,70,17.0,32.0,1990
65,buick regal sport coupe (turbo),165,13.4,17.7,3445
28,buick skylark,105,16.9,20.5,3425
155,volkswagen jetta,74,14.2,33.0,2190
98,amc spirit dl,80,15.0,27.4,2670
120,toyota corona liftback,90,15.5,29.8,2711
26,mercury cougar brougham,130,14.9,15.0,4295
145,toyota starlet,58,16.9,39.1,1755
62,dodge aspen,110,18.7,18.6,3620
114,datsun 310,65,16.4,37.2,2019
51,oldsmobile cutlass salon brougham,110,15.5,19.9,3365
17,dodge d100,150,14.0,13.0,3755
44,bmw 320i,110,12.8,21.5,2600
186,honda civic (auto),67,15.7,32.0,1965
92,ford country squire (sw),142,14.3,15.5,4054
154,ford escort 2h,65,20.7,29.9,2380
61,mercury zephyr,85,16.7,20.8,3070
173,dodge aries se,84,16.0,29.0,2525
122,datsun 510 hatchback,92,15.0,37.0,2434
95,vw rabbit custom,71,14.0,31.9,1925
133,subaru dl,67,18.0,33.8,2145
80,volkswagen scirocco,71,14.9,31.5,1990
156,renault 18i,?,15.8,34.5,2320
96,maxda glc deluxe,65,15.2,34.1,1975
153,ford escort 4w,65,16.2,34.4,2045
50,honda civic cvcc,60,16.4,36.1,1800
135,datsun 280-zx,132,11.4,32.7,2910
77,volvo 264gl,125,13.6,17.0,3140
48,mazda glc deluxe,52,19.4,32.8,1985
132,renault lecar deluxe,?,17.3,40.9,1835
13,mercedes-benz 280s,120,16.7,16.5,3820
131,honda civic 1500 gl,67,13.8,44.6,1850
56,ford fairmont (auto),85,15.8,20.2,2965
58,plymouth volare,100,17.2,20.5,3430
113,chevrolet chevette,70,15.5,32.1,2120
166,oldsmobile cutlass ls,105,19.0,26.6,3725
35,volkswagen rabbit custom,78,14.5,29.0,1940
106,fiat strada custom,69,14.7,37.3,2130
169,chevrolet cavalier,88,19.6,28.0,2605
53,mercury monarch ghia,139,12.8,20.2,3570
18,honda accord cvcc,68,18.5,31.5,2045
184,toyota corolla,70,16.9,34.0,2245
41,subaru dl,67,16.4,30.0,1985
7,toyota corolla,75,16.4,28.0,2155
177,volkswagen rabbit l,74,15.3,36.0,1980
36,pontiac sunbird coupe,88,16.0,24.5,2740
59,amc concord,90,17.2,19.4,3210
10,plymouth volare premier v8,150,13.2,13.0,3940
14,cadillac seville,180,12.1,16.5,4380
99,mercedes benz 300d,77,20.1,25.4,3530
197,dodge rampage,84,11.6,32.0,2295
33,chrysler cordoba,190,12.2,15.5,4325
115,chevrolet citation,90,16.5,28.0,2678
139,honda accord,72,17.0,32.4,2290
150,toyota tercel,62,17.3,37.7,2050
8,ford pinto,72,13.6,26.5,2565
164,datsun 810 maxima,120,13.8,24.2,2930
147,honda civic 1300,60,16.1,35.1,1760
175,ford fairmont futura,92,16.4,24.0,2865
63,amc concord d/l,120,15.1,18.1,3410
29,plymouth volare custom,100,17.7,19.0,3630
71,dodge omni,75,14.5,30.9,2230
37,toyota corolla liftback,75,18.2,26.0,2265
136,mazda rx-7 gs,100,12.5,23.7,2420
138,ford mustang cobra,?,14.3,23.6,2905
45,mazda rx-4,110,13.5,21.5,2720
111,vw rabbit,76,14.7,41.5,2144
85,amc concord dl 6,90,18.2,20.2,3265
100,cadillac eldorado,125,17.4,23.0,3900
42,volkswagen dasher,78,14.1,30.5,2190
70,datsun 510,97,14.7,27.2,2300
34,ford thunderbird,149,14.5,16.0,4335
118,dodge aspen,90,18.7,19.1,3381
68,chevrolet chevette,68,16.5,30.0,2155
188,buick century limited,110,16.4,25.0,2945
182,nissan stanza xe,88,14.5,36.0,2160
140,plymouth reliant,84,15.7,27.2,2490
39,chevrolet chevette,63,17.0,30.5,2051
24,oldsmobile cutlass supreme,110,19.0,17.0,4060
83,mercury zephyr 6,85,18.2,19.8,2990
57,ford fairmont (man),88,15.4,25.1,2720
55,chevrolet malibu,95,18.2,20.5,3155
73,plymouth sapporo,105,16.7,23.2,2745
91,buick estate wagon (sw),155,14.9,16.9,4360
163,toyota cressida,116,12.6,25.4,2900
25,dodge monaco brougham,145,13.7,15.5,4140
82,pontiac lemans v6,115,15.4,21.5,3245
69,toyota corona,95,14.2,27.5,2560
72,toyota celica gt liftback,95,14.8,21.1,2515
127,vw rabbit c (diesel),48,21.7,44.3,2085
179,mazda glc custom,68,17.6,31.0,1970
189,oldsmobile cutlass ciera (diesel),85,17.0,38.0,3015
1,dodge aspen se,100,17.7,20.0,3651
66,ford futura,139,11.2,18.1,3205
167,ford granada gl,88,17.1,20.2,3060
125,dodge colt,105,14.4,27.9,2800
157,honda prelude,75,14.4,33.7,2210
130,mercedes-benz 240d,67,21.8,30.0,3250
104,plymouth horizon tc3,70,14.9,34.5,2150
74,oldsmobile starfire sx,85,17.6,23.8,2855
108,chevrolet citation,115,11.3,28.8,2595
90,dodge st. regis,135,15.2,18.2,3830
116,ford fairmont,88,18.1,26.4,2870
194,chevrolet camaro,90,17.3,27.0,2950
117,amc concord,90,20.1,24.3,3003
89,mercury grand marquis,138,13.2,16.5,3955
128,vw dasher (diesel),48,23.7,43.4,2335
126,datsun 210,65,19.2,40.8,2110
198,ford ranger,79,18.6,28.0,2625
148,subaru,67,17.8,32.3,2065
