title,artist,top genre,bpm,energy,danceability,liveness,valence,acousticness,speechiness
Body Back (feat. Maia Wright),Gryffin,dance pop,123,83,69,18,49,9,4
How Deep Is Your Love,Calvin Harris,dance pop,122,87,74,39,34,4,7
Polaroid,Jonas Blue,dance pop,114,90,65,7,47,29,4
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,113,83,67,10,70,1,7
Bikini Porn,Tove Lo,dance pop,101,69,92,5,68,8,8
Better Off Without You (feat. Shift K3Y),Becky Hill,dance pop,124,86,68,10,30,6,4
All the Time,Zara Larsson,dance pop,102,80,67,13,50,18,6
Feel Good (feat. Daya),Gryffin,dance pop,138,71,63,21,48,22,3
I Wanna Know (feat. Bea Miller),NOTD,dance pop,120,73,66,12,61,3,6
Lean On,Major Lazer,dance pop,98,81,72,56,27,0,6
Broken & Beautiful (from the movie UGLYDOLLS),Kelly Clarkson,dance pop,112,73,73,8,55,8,4
I Miss Myself (with HRVY),NOTD,dance pop,96,86,72,16,66,9,21
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,128,93,57,6,58,20,11
Need Your Love (with Noah Kahan),Gryffin,dance pop,104,76,58,18,52,16,4
Wanted,NOTD,dance pop,96,67,69,6,38,19,7
Live Forever (With Cheat Codes),Liam Payne,dance pop,100,68,69,12,66,21,3
Poker Face,Lady Gaga,dance pop,119,81,85,12,78,12,8
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,125,68,66,37,25,25,4
2U,David Guetta,dance pop,145,65,55,22,56,23,6
Titanium (feat. Sia),David Guetta,dance pop,126,79,60,13,30,7,10
I'm Not Alright,Loud Luxury,dance pop,122,86,88,38,70,8,5
Firework,Katy Perry,dance pop,124,83,64,11,65,14,5
First Love,Lost Kings,dance pop,94,94,62,13,60,3,35
Anything Could Happen,Ellie Goulding,dance pop,103,78,70,14,38,43,3
Flames,David Guetta,dance pop,94,73,61,9,36,7,4
Lights - Bassnectar Remix,Ellie Goulding,dance pop,140,78,53,78,26,0,3
if we never met,John K,dance pop,115,57,93,10,77,3,5
